Date	matchname	Gender	WinningTeam	Byrun	Bywicket	Overs	Team1	Team2	TossWinner	TossDecision	Venue	MatchId
2011-02-20	ICC Cricket World Cup--1773	male	Sri Lanka	210.0		50	Sri Lanka	Canada	Sri Lanka	bat	Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa	1773.0
2011-02-21	ICC Cricket World Cup--1774	male	Australia	91.0		50	Australia	Zimbabwe	Australia	bat	Sardar Patel Stadium, Motera	1774.0
2011-02-22	ICC Cricket World Cup--1775	male	England		6.0	50	England	Netherlands	Netherlands	bat	Vidarbha Cricket Association Stadium, Jamtha	1775.0
2011-02-23	ICC Cricket World Cup--1776	male	Pakistan	205.0		50	Kenya	Pakistan	Pakistan	bat	Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa	1776.0
2011-02-24	ICC Cricket World Cup--1777	male	South Africa		7.0	50	South Africa	West Indies	South Africa	field	Feroz Shah Kotla	1777.0
2011-02-25	ICC Cricket World Cup--1778	male	Australia		7.0	50	Australia	New Zealand	Australia	field	Vidarbha Cricket Association Stadium, Jamtha	1778.0
2011-02-25	ICC Cricket World Cup--1779	male	Bangladesh	27.0		50	Bangladesh	Ireland	Bangladesh	bat	Shere Bangla National Stadium	1779.0
2011-02-26	ICC Cricket World Cup--1780	male	Pakistan	11.0		50	Sri Lanka	Pakistan	Pakistan	bat	R Premadasa Stadium	1780.0
2011-02-27	ICC Cricket World Cup--1781	male	no result			50	India	England	India	bat	M Chinnaswamy Stadium	1781.0
2011-02-28	ICC Cricket World Cup--1782	male	West Indies	215.0		50	Netherlands	West Indies	Netherlands	field	Feroz Shah Kotla	1782.0
2011-02-28	ICC Cricket World Cup--1783	male	Zimbabwe	175.0		50	Canada	Zimbabwe	Zimbabwe	bat	Vidarbha Cricket Association Stadium, Jamtha	1783.0
2011-03-01	ICC Cricket World Cup--1784	male	Sri Lanka		9.0	50	Sri Lanka	Kenya	Kenya	bat	R Premadasa Stadium	1784.0
2011-03-02	ICC Cricket World Cup--1785	male	Ireland		3.0	50	England	Ireland	England	bat	M Chinnaswamy Stadium	1785.0
2011-03-03	ICC Cricket World Cup--1786	male	South Africa	231.0		50	Netherlands	South Africa	Netherlands	field	Punjab Cricket Association Stadium, Mohali	1786.0
2011-03-03	ICC Cricket World Cup--1787	male	Pakistan	46.0		50	Canada	Pakistan	Pakistan	bat	R Premadasa Stadium	1787.0
2011-03-04	ICC Cricket World Cup--1788	male	New Zealand		10.0	50	New Zealand	Zimbabwe	Zimbabwe	bat	Sardar Patel Stadium, Motera	1788.0
2011-03-04	ICC Cricket World Cup--1789	male	West Indies		9.0	50	Bangladesh	West Indies	Bangladesh	bat	Shere Bangla National Stadium	1789.0
